timestamp,transcript
2:23 - 2:27,Thực tế là nó không thay đổi quá nhiều.
2:28 - 2:32,Nhưng mà mình nghĩ là mình đang có cái xu thế bị xu thế trầm đi.
2:32 - 2:42,"Cái hồi mà mình sinh viên ấy, lúc đấy cũng rất cục, nói chung là rất là năng nổ, rất là nghĩa là trong nhóm mà anh em làm việc là mình lúc nào cũng rất là căng."
2:42 - 2:49,bây giờ thì đỡ đi nhiều rồi.
2:49 - 2:55,Nên là nếu mà anh em trong trong nhóm của mình thấy mình căng nghĩa là bây giờ vẫn đang đang là nhẹ đi rất nhiều so với cái thời điểm mà hồi mình mới ra.
2:56 - 2:58,Chắc là hết rồi nhỉ?
3:02 - 3:03,sẽ chia sẻ về.
3:04 - 3:06,Em có thể vẽ luôn.
3:08 - 3:10,Từ chị em đi.
3:10 - 3:11,Em chạy đi.
3:12 - 3:18,bao nhiêu tuổi?
3:18 - 3:19,13 tuổi ạ.
3:20 - 3:21,thôi.
3:24 - 3:25,"3, 2, 1, bắt đầu."
3:27 - 3:32,Anh mong muốn 5 năm tới thì Ralo sẽ như thế nào?
3:33 - 3:34,Ừm ok.
3:36 - 3:41,Ờ 5 năm ừm.
3:41 - 3:46,nghĩa là lúc đấy thì Ralo là được 13 năm.
3:47 - 3:51,Thì vẫn như những ngày đầu mình vào đây thôi.
3:52 - 4:00,thì lúc nào mình cũng kỳ vọng một cái môi trường làm việc nó nó nó tốt.
4:00 - 4:08,"Nó nó trở thành một cái nơi, với công ty mình là công ty công nghệ."
4:08 - 4:18,"Thì mình rất mong muốn là công ty mình sẽ trở thành một cái nơi dành cho những người làm việc về công nghệ, thật thoải mái nhất."
4:19 - 4:24,"Mình rất là mong đợi là nó được như là những cái doanh nghiệp big tech rất là lớn ở trên thế giới, như Google, Amazon."
4:24 - 4:29,Phong cách làm việc rất thoải mái nhưng rất hiệu quả.
4:30 - 4:34,"Quyền lợi dành cho mọi người tốt, mọi thứ đều tốt."
4:36 - 4:37,Mình nghĩ là như vậy.
4:40 - 4:43,Xong rồi á?
4:44 - 4:45,Được chưa vậy?
4:45 - 4:46,Được rồi.
4:47 - 4:49,hết à?
4:49 - 4:50,". 2, 1, bắt đầu."
4:51 - 4:57,Cảm nhận của bạn về ngày đầu tiên đến Ralo như thế nào?
4:58 - 5:02,Ờ ngày đầu tiên đến Ralo ấy thì là hình như là công ty mình mới chuyển sang văn phòng mới.
5:02 - 5:09,"Tức là mọi thứ cảm giác rất là sơ sài, mới mẻ."
5:09 - 5:13,Và lúc đấy nhân sự hình như là có gần trăm người thôi.
5:13 - 5:18,Nên là mọi người cũng mà phân phòng rộng ấy là mọi người ngồi cũng lác đác.
5:18 - 5:22,Nhưng mà may một cái là chỗ mình là mọi người rất là đông đúc.
5:22 - 5:27,"Và cảm nhận đầu tiên của mình là đồng nghiệp rất là thân thiện, rất gần."
5:27 - 5:32,Và buổi trưa thì được mọi người dắt đi ăn cùng các anh chị.
5:33 - 5:36,Nhưng mà lúc sau mới biết là đi cùng sếp của mình.
5:36 - 5:40,May mà chưa hỏi review về sếp.
5:40 - 5:40,Ok.
5:45 - 5:45,Em hỏi thêm một câu nữa.
5:48 - 5:52,Từ khi gia nhập đến nay anh có thấy bản thân mình thay đổi gì không?
5:54 - 5:54,Hỏi nhầm không?
5:55 - 5:55,Không hỏi tiếp.
5:58 - 6:00,Có có điểm gì khiến anh thay đổi không?
6:00 - 6:01,Anh có hướng ngoại hơn không?
6:03 - 6:03,Anh có đà?
6:05 - 6:07,"Anh, anh có hướng ngoại hơn không?"
6:08 - 6:10,Hình như là có hướng ngoại hơn đấy.
6:10 - 6:15,"Đấy, để anh chia sẻ lại."
6:15 - 6:17,ra nhật.
6:17 - 6:18,Ý là hỏi mình hỏi.
6:18 - 6:20,Phần hai lần đó.
6:20 - 6:23,Ừ với với anh.
6:23 - 6:31,"Ý là mình hỏi với câu mình kiểu trả lời ngắn thôi, không cần chuẩn bị, ý là kiểu anh, anh từ từ ở nhật bản ra thì với môi trường như vậy thì bản thân anh đã thay đổi."
6:31 - 6:36,"Thứ nhất là anh đã hướng ngoại hơn, kiểu tham gia các hoạt động văn thể của công ty rất là tích cực mà cũng chủ động đi kết nối mối quan hệ mới."
6:44 - 6:45,"Từ từ để nghĩ, tại vì nó có nhiều nhiều ý."
6:46 - 6:48,thì Có ý mà mình không biết.
6:48 - 6:49,Bản thân đúng không?
6:51 - 7:01,Ừ anh em gặp người tiếp theo là  đi đúng không?
7:01 - 7:04,ghi vợt khơi hơn là ghi chưa có trong nhân xách xét giời đúng không?
7:04 - 7:05,Anh nghĩ nhanh lên đi.
7:09 - 7:09,Ok.
7:11 - 7:12,". Thế thì em hỏi trước câu 5 năm, em sẽ nghĩ câu trả lời."
7:15 - 7:16,Thế là hỏi ba câu đúng không?
7:17 - 7:18,Từ từ đã.
7:19 - 7:20,Nghĩ trả lời cho nó mượt đi.
7:20 - 7:21,10 15.
7:24 - 7:25,"2, 1 bắt đầu."
7:27 - 7:31,Từ khi vào công ty bây giờ thì anh cảm thấy bản thân mình thay đổi điều gì nhất?
7:32 - 7:39,"Ờ từ khi vào công ty thì cái điều mà mình thay đổi nhất ấy thì có lẽ là mình cảm thấy cái khả năng của khả năng giao tiếp của mình là tốt hơn, tự tin hơn."
7:40 - 7:46,Và cũng như là đặc biệt là hai lần mình tham gia táo quân trong hai năm gần đây.
7:46 - 7:52,Và gần đây thì mình cũng xin gửi lời cảm ơn đến IC vì đã cho mình hai lần cơ hội để tham gia diễn văn nghệ của công ty.
7:54 - 7:55,Sai rồi.
7:55 - 7:56,Là sao?
7:56 - 8:05,phải cảm ơn cho cơ hội diễn văn nghệ và cảm ơn hơn cái cơ hội để mình có thể phát triển bản thân à?
8:06 - 8:10,tự tin hơn về hiện tại năng của mình.
8:11 - 8:19,Ờ vì tại trước anh đã nói đến câu chuyện diễn văn nghệ rồi thì là không phải là điều đấy.
8:19 - 8:32,Ừ từ ngày vào ra  từ ngày và ra thì điểm thay đổi mà anh nhận thấy rõ ràng nhất đó chính là anh đã tự tin hơn trong giao tiếp và cả trong những cái hoạt động thường ngày.
8:33 - 8:44,Ờ cụ thể thì trước đây thì anh chưa từng tham gia văn nghệ ở công ty bao giờ nhưng mà sau thì anh lại có hai cái vai chủ chốt trong vở kịch táo quân cuối năm.
8:44 - 8:47,Và nhân đây thì cũng cảm ơn anh cho mình cái cơ hội được diễn hiện trên sân khấu.
8:47 - 8:48,Dài vậy.
8:50 - 8:55,"Từ từ lốt đã, dài thế."
8:55 - 8:56,Thứ nhất là.
8:58 - 8:59,"3, 2, 1."
9:00 - 9:03,từ khi vào Ralo đến bây giờ anh cảm thấy bản thân mình thay đổi điều gì nhất?
9:04 - 9:09,Ờ cái điều mà thay đổi rõ ràng nhất thì là tính cách của anh.
9:10 - 9:14,anh tự tin giao tiếp và các hoạt động hàng ngày tốt hơn.
9:14 - 9:20,và cái điều đặc biệt nhất là anh dám đảm nhận hai cái vai diễn táo quân trong 2 năm vừa qua của công ty mình.
9:20 - 9:24,Đấy cũng là cái điều đấy cũng là một cái điều bước ngoặt quan trọng trong cái tính cách của anh.
9:26 - 9:26,Ok.
9:27 - 9:28,Ờ tiếp theo sẽ là câu năm.
9:33 - 9:34,Có cần quay hay hỏi luôn anh?
9:34 - 9:35,Hỏi luôn.
9:36 - 9:36,5 năm tới thì anh mong muốn ra bi lô sẽ như thế nào?
9:39 - 9:42,Ờ 5 năm tới thì anh mong Ralo sẽ phát triển vững mạnh hơn.
9:42 - 9:47,Và cái điều đặc biệt anh mong muốn đó là công ty sẽ có thêm nhiều văn phòng hơn khắp cả nước.
9:48 - 9:52,Để có thể tiếp cận thêm nhiều nguồn nhân lực chất lượng hơn.
9:53 - 9:56,Và anh cũng có cơ hội để đi công
9:57 - 10:01,tác ở các văn phòng ấy hơn.
10:01 - 10:04,"Ờ, ngoài ra anh còn cơ hội bay đi bay lại khắp các vùng."
10:06 - 10:11,Anh sẽ có cơ hội để bay đi bay lại khắp các tỉnh thành trong cả nước và thậm chí là nước ngoài được chưa?
10:11 - 10:13,Và anh cũng có cơ hội
10:13 - 10:17,bay đi khắp các tỉnh thành cho cả nước và các nước ngoài.
10:18 - 10:19,Ok.
10:21 - 10:24,Và anh cũng có cơ hội bay đi khắp tỉnh thành trong cả nước.
10:24 - 10:27,Bay đi công tác ở khắp các tỉnh thành.
10:27 - 10:28,Ờ
10:28 - 10:29,Anh có công tác ở khắp các tỉnh thành.
10:30 - 10:31,Anh có muốn tham gia không?
10:31 - 10:32,Anh ở lại em hỏi sếp trả lời.
10:34 - 10:35,Và anh từ từ.
10:36 - 10:39,Và anh cũng có cơ hội bay đi công tác
10:41 - 10:47,Anh ở lại lại đi bay lại khắp các tỉnh thành trong cả nước và thậm chí là cả nước ngoài.
10:48 - 10:49,"Đấy, mất chức công tác rồi đấy."
10:50 - 10:51,Ừ.
10:52 - 10:53,Và anh có cơ hội.
10:53 - 10:57,bay đi bay lại.
10:57 - 11:02,Và anh có cơ hội bay đi bay lại khắp các tỉnh thành trong cả nước và cả ở nước ngoài nữa.
11:03 - 11:03,Xong rồi á?
11:05 - 11:06,"Ok, xong rồi."
11:06 - 11:06,Rồi.
11:09 - 11:13,Chúc em là từ ngày ra đến giờ thì em cảm thấy là bản thân mình thay đổi điều gì nhất?
11:14 - 11:20,Ờ theo em thì sự thay đổi lớn nhất của bản thân em từ ngày gia nhập công ty đó chính là em đã thể thao hơn và có tinh thần Spotify hơn.
11:20 - 11:28,"Ờ cụ thể là kiểu bình thường em không phải là một người quá là thể thao hay là tham gia các hoạt động nhưng mà sau khi gia nhập công ty cũng như là trải qua hai lần đại hội thể thao thì em cảm thấy mình đã thay đổi hơn bao giờ hết, máu lửa hơn bao giờ hết luôn."
11:29 - 11:34,Ờ đặc biệt là ở lần tham gia thứ hai này gần đây nhất thì em đã vượt qua bản thân để chinh phục được hầu hết tất cả các môn thể thao và san bằng tất cả những kỷ lục đã có.
11:35 - 11:41,Em cảm thấy rất tự hào về bản thân em khi đấy luôn ý và em nghĩ một thành tựu lớn nhất của em ở đại hội thể thao lần này đó chính là em đã cầm được vợt bóng bàn.
11:41 - 11:43,Ôi đã ghi rồi.
11:45 - 11:46,"3, 2, 1 bắt đầu."
11:46 - 11:52,Ờ câu hỏi thứ hai thì em cảm thấy điều gì khiến Ralo khác biệt hơn so với các nơi còn lại?
11:53 - 11:58,Ờ thì em cũng nói thật là em đã tham gia ba công ty rồi thì em cảm thấy trong ba công ty đấy thì Ralo là một thứ gì đó một cái công ty gì đó đặc biệt nhất trong lòng em.
11:59 - 12:06,Tại vì em cảm thấy cái sự máu lửa cũng như là sự gắn kết của mọi người ở trong công ty.
12:06 - 12:14,Đặc biệt là trong những cái hoạt động chung.
12:14 - 12:21,Tại vì bình thường em hay lướt trend hay là xem TikTok hay là nghe được ý kiến lời quen thì mọi người bảo là công ty mọi người hơi trầm trong các hoạt động thể thao chung.
12:21 - 12:24,Tại vì mọi người cũng hơi ngại ngại ngại cũng có gia đình ấy.
12:25 - 12:30,Nhưng mà em cảm thấy ở tại Ralo thì điều đấy không xảy ra nhiều lắm và không có luôn ý.
12:30 - 12:38,"Mọi người rất là máu lửa tham gia các hoạt động chung, đặc biệt là ở lần đại hội thể thao này."
12:39 - 12:43,Em cảm thấy mọi người rất máu lửa và em cảm thấy FOMO về điều đấy khiến em cũng máu lửa theo.
12:43 - 12:43,đã tự.
12:44 - 12:45,Ừm.
12:45 - 12:48,"5 năm tới, 5 năm tới thì em sẽ như thế nào?"
12:50 - 12:50,5 năm tới.
12:51 - 12:53,Cũng khá dài chị nhỉ?
12:53 - 12:53,.
12:53 - 12:55,vẫn lâu.
12:56 - 12:56,chưa.
12:58 - 13:00,Chứ à bình tĩnh đi.
13:00 - 13:01,5 năm thì
13:04 - 13:07,"Em nghĩ 5 năm tới Ralo sẽ ở một cơ vị khác rồi, next level rồi."
13:08 - 13:11,Kiểu maybe là một trong những công ty to nhất Hà Đông.
13:11 - 13:12,Kiểu là quần mình được.
13:12 - 13:14,"À, Nam Từ Liêm, nhầm, to nhất quận Nam Từ Liêm."
13:17 - 13:17,Em thì em rất là mong là công ty mình
13:18 - 13:24,sẽ trở thành một cái công ty to nhất Nam Từ Liêm cũng như là sẽ chuyển đến một cái to hơn ví dụ như là Lotte Tây Hồ chẳng hạn.
13:24 - 13:28,Em rất mong điều đấy tại vì Lotte gần nhà em.
13:29 - 13:32,"Ok, trong này sẽ có một số."
13:32 - 13:34,Có cần chào hỏi gì không bạn?
13:35 - 13:36,Không không không.
13:36 - 13:38,"Cứ trả lời, hỏi trả lời đúng không?"
13:39 - 13:39,Trả lời thôi.
13:40 - 13:41,Ok.
13:42 - 13:42,"3, 2, 1, bắt đầu."
13:44 - 13:52,Thì câu hỏi đầu tiên dành cho bạn là cảm nhận của bạn về ngày đầu tiên khi gia nhập Ralo như thế nào?
13:53 - 14:01,"Ờ, cái ngày đầu tiên mình gia nhập Ralo ấy thì mình thấy khá là run ấy."
14:01 - 14:05,"Với cả kiểu từ lần đầu được chuyển từ môi trường sinh viên ờ qua môi trường đi làm ấy,"
14:06 - 14:09,thì thấy rất là kiểu hồi hộp ấy.
14:09 - 14:15,Nhưng mà đồng thời cũng gọi là một tí mông lung bởi vì không rõ là mình sắp tới sẽ phải làm những gì hoặc được làm những gì.
14:15 - 14:20,Cho nên là cũng một tí gọi là vui nữa.
14:20 - 14:25,"Kiểu được bắt tay vào làm việc, được bắt tay vào chính thức thực hiện một công việc quan trọng nào đấy thì thấy có khả năng là vui nữa."
14:25 - 14:26,Hồi hộp và vui.
14:27 - 14:28,Sau 3 năm.
14:29 - 14:30,Ralo thì bạn cảm thấy là bản thân mình thay đổi điều gì nhất?
14:31 - 14:36,Cái đầu tiên là cái kiến thức thì nó phục vụ rất nhiều trong cái kể cả quá trình học tập à quá trình làm việc.
14:36 - 14:41,"Cái thứ hai là cái phong cách làm việc, tức là rèn được cái tính cách là phải nghiêm túc à trách nhiệm."
14:41 - 14:47,Cái thứ ba là cảm thấy bản thân quan trọng trong một cái quy trình nào đấy.
14:47 - 14:56,"Tức là ví dụ như là một cái đầu tát giao xuống, nếu mà mình không làm nghiêm túc thì mình sẽ ảnh hưởng đến toàn bộ team đấy."
14:56 - 15:00,Cho nên là rèn được cái tính kỷ luật cho chính bản thân mình nữa.
15:02 - 15:02,Ok.
15:02 - 15:05,Câu hỏi cuối rồi đấy.
15:05 - 15:07,Thấy thôi.
15:07 - 15:08,Chuyển câu.
15:09 - 15:10,Hai câu.
15:10 - 15:11,Nhanh vậy.
15:12 - 15:13,"hỏi câu 5 năm, ok."
15:13 - 15:18,bạn mong Ralo trong 5 năm tới sẽ như thế nào?
15:19 - 15:27,Ờ năm tới thì anh mong Ralo sẽ phát triển đến quy mô tầm 1000 nhân viên và 1000 nhân viên thì
15:28 - 15:32,"thì quan trọng là nhận được nhiều dự án hơn à quy trình làm việc nó sẽ chuẩn chỉ hơn, kiểu thế."
15:32 - 15:36,Ờ và có sẽ có nhiều cái hoạt động hơn và mọi người sẽ được gắn kết hơn.
15:39 - 15:40,"3, 2, 1, bắt đầu."
15:42 - 15:45,Cảm nhận của bạn về ngày đầu tiên đến Ralo như thế nào?
15:46 - 15:52,"Ờ, cảm nhận của mình trong ngày đầu tiên đến Ralo thì khá là bị hồi hộp ấy."
15:52 - 15:59,"Vì vừa mới đến thì chị Yến đã lôi mình vào phòng họp, có sếp Kiên, có anh Duy để học về dự án luôn."
15:59 - 16:05,Thế mình cũng kiểu rất là bỡ ngỡ vì ban đầu mình vào công ty với một cái vai trò khác.
16:06 - 16:14,"À không từ từ, từ từ từ từ, chị ơi, hoặc là chị trả lời luôn kiểu giai đoạn đầu tiên."
16:14 - 16:16,Giai đoạn đầu tiên á?
16:16 - 16:19,Chị đang định kể cái vụ là
16:19 - 16:27,chị vừa vào chị không biết gì nhưng mà anh Kiên anh Kiên anh Kiên với cả anh Duy bàn hay quá thế là chị cũng hỏi là anh ơi cho cái function này vào cái này được không?
16:27 - 16:28,Thế là anh Kiên bảo là ờ ờ cũng có vẻ được đấy.
16:29 - 16:32,Thì kiểu rất là ấn tượng vì vì lúc đấy là kiểu không biết gì nhưng mà nói linh tinh thì vẫn được anh kia bảo ok ấy.
16:38 - 16:38,Đấy là ngày đầu tiên à?
16:39 - 16:39,Ớ.
16:39 - 16:41,Các giai đoạn đầu tiên có gì đặc biệt không?
16:41 - 16:43,Giai đoạn đầu tiên á?
16:43 - 16:44,Giai đoạn đầu tiên ở văn phòng cũ.
16:46 - 16:48,"xong mọi người rủ đi chơi bowling,"
16:49 - 16:52,nhưng cuối cùng không ai đi cả.
16:55 - 16:55,Sao thế?
16:59 - 17:01,"Ớ, kể cái đấy nhá, cho vui nhá."
17:02 - 17:02,Cũng được.
17:02 - 17:04,Kể cả hai cái luôn được.
17:05 - 17:06,Ừ.
17:06 - 17:09,"Anh ơi bắt, nhưng mà mắt chị cảm giác mắt chị cứ bị nhìn lên trên xong rồi"
17:09 - 17:11,nhìn chị.
17:13 - 17:13,"Ok, Binh ơi em cứ ngồi như thế nhé, đừng nhìn chị."
17:15 - 17:15,Ừ cứ ngồi như thế đi.
17:15 - 17:17,Chị nhìn lên đến đây.
17:19 - 17:20,Được chưa?
17:20 - 17:21,Ok.
17:23 - 17:23,Bắt đầu nhá.
17:25 - 17:25,Ok.
17:26 - 17:33,Cảm nhận của bạn về ngày đầu tiên đến Ralo và so với hiện tại thì nó đã thay đổi như thế nào?
17:34 - 17:40,"Ờ thường thì mọi người sẽ đến văn phòng Ralo ngày đầu tiên trong để phỏng vấn nhưng mà mình lại được phỏng vấn ở trước đấy tại quán cà phê rồi, nên là ngày đầu tiên đi làm của mình là ngày on board luôn."
17:40 - 17:42,Ờ thì lúc mà đấy cũng là lần đầu tiên mình đi làm
17:42 - 17:45,luôn thì mình có cảm nhận rằng là văn phòng rất là ấm cúng.
17:45 - 17:51,Và thật sự là đối với một bạn sinh viên năm 3 thì lúc đấy mình nghĩ rằng là khoảng 30 người trong một văn phòng đã rất đông rồi.
17:51 - 17:59,Nhưng mà nếu mà bây giờ nhìn lại thì văn phòng đó cũng chỉ bằng chắc là chưa đến một một nửa ở khu sinh hoạt chung hiện
