timestamp,transcript
3:26 - 3:27,Lại lại lại lại.
3:33 - 3:34,2 1.
3:37 - 3:51,"Hi, I'm Dương, a senior engineer with 5 year at Rabylo."
3:51 - 3:55,My motto is.
3:59 - 4:00,bắt đầu.
4:02 - 4:09,"Hi, I'm Dương, a senior engineer with 5 years at Rabylo."
4:09 - 4:10,My motto is.
4:11 - 4:13,always moving.
4:13 - 4:15,still passionate.
4:16 - 4:18,"Ơ, nói tiếp từ cái mà motto đúng không?"
4:19 - 4:20,"ừ, tôi nói liền luôn."
4:20 - 4:21,My motto is.
4:25 - 4:25,hay là phải nói từ đầu ấy?
4:26 - 4:26,Nói từ đầu chứ.
4:27 - 4:27,Okay.
4:27 - 4:28,Nói luôn.
4:31 - 4:35,Sorry.
4:37 - 4:38,2 1 bắt đầu.
4:40 - 4:48,"Hi, I'm Dương, a senior engineer with 5 years at Rabylo."
4:48 - 4:52,My motto is.
4:53 - 5:01,"still passionate, always moving forward."
5:04 - 5:05,Ok.
5:07 - 5:08,căng thẳng quá.
5:09 - 5:10,2 1 bắt đầu.
5:13 - 5:20,"My father is a mechanical engineer, I lại and I have been tinkering."
5:21 - 5:24,Lại nha.
5:25 - 5:25,"cái này I have been, không phải I have been."
5:26 - 5:26,"À, với cả cái này nhá."
5:27 - 5:28,1
5:28 - 5:29,bắt đầu.
5:30 - 5:42,My father is a mechanical engineer and I has been tinkering with his work tools since I were very young.
5:42 - 5:50,"That sparked my fascination with the world of machines, computer and logics."
5:50 - 5:55,Becoming a software engineer has been my dream.
5:57 - 5:58,Lại thêm một bạn nữa đi.
5:58 - 6:00,Nó có bị cao quá.
6:01 - 6:03,"Em, em đang bị, sẽ bị nâng ở đoạn cuối."
6:03 - 6:06,Has been my dream.
6:09 - 6:10,Lại nha.
6:13 - 6:20,My father is a my father is mechanical engineer.
6:20 - 6:21,Lại lại lại.
6:21 - 6:27,My father is a mechanical engineer and I haven't tinkering with his work tools since I was very young.
6:27 - 6:35,"That sparked my fascination with the world of machines, computer and logic."
6:35 - 6:39,Becoming a software engineer has been my dream.
6:41 - 6:41,Ok đấy.
6:45 - 6:52,Ở cái giọng này bạn ấy nói nhỏ hơn so với lúc vừa nãy thì anh tăng.
6:52 - 6:53,2 1 bắt đầu.
6:54 - 7:03,"When I was student in the Hà Nội University of Technology, I had the chance to listen to Cường, the CEO of Rabylo."
7:03 - 7:04,tại sao lại thiếu lại lại em ạ.
7:04 - 7:05,to Mr. Cường.
7:06 - 7:06,"Ơ, hôm qua có Mr. Cường mà."
7:11 - 7:12,Bắt đầu nha anh nhá.
7:15 - 7:24,"When I was student in the Hà Nội University of Technology, I had the chance to listen to Mr. Cường."
7:28 - 7:30,"to listen to Mr. Cường, nghe thôi."
7:30 - 7:31,Đúng chưa ạ?
7:33 - 7:35,I had the chance to meet.
7:35 - 7:41,the chance to to meet to meet Mr. Cường.
7:41 - 7:41,To meet Mr. Cường.
7:46 - 7:47,Mr.
7:47 - 7:47,Mr. Cường.
7:50 - 7:51,To meet the.
7:51 - 7:52,To meet Mr. Cường.
7:54 - 7:55,To meet.
7:55 - 7:56,to meet.
8:00 - 8:09,"When I was student in the Hà Nội University of Technology, I had a chance to meet Mr. Cường, the CEO of Rabylo."
8:09 - 8:16,who is also an alumnus of the university share his inspiring startup journey started from an employee in Japan.
8:16 - 8:23,Then back to startup in Vietnam and build a bridge of technology talents between Vietnam and Japan.
8:23 - 8:24,Đọc lại câu này nhá.
8:25 - 8:26,Okay.
8:27 - 8:38,"Started from started from an employee in Japan, then back to startup in Vietnam and build a bridge of technology talents between Vietnam and Japan."
8:39 - 8:43,Nhưng mà đoạn này giọng điệu nó hơi bị đọc quá hay sao đấy?
8:43 - 8:44,Giọng này nó đang hơi bị.
8:44 - 8:47,"Cái này phải đọc, cái này phải giống nói."
8:47 - 8:56,"Ờ, có lúc đọc vẫn giống như kiểu là em đang nói chuyện với chị ấy."
8:56 - 8:58,Started from.
8:58 - 9:00,khi kể When I was a student in the Hà Nội University.
9:00 - 9:01,3 2 1 bắt đầu.
9:02 - 9:15,"When I was student in the Hà Nội University of Technology, I had a chance to meet Mr. Cường, the CEO of Rabylo, who is also an alumnus of the university share his inspiring startup journey."
9:16 - 9:21,"Started from an employee in Japan, then back to"
9:21 - 9:23,Startup in Vietnam and build.
9:23 - 9:24,Không hợp lý lắm nhỉ.
9:29 - 9:30,Cũng được.
9:31 - 9:31,Tiếp ha.
9:31 - 9:32,Tại vì đoạn sau vẫn là.
9:33 - 9:33,2 1 bắt đầu.
9:35 - 9:41,"Started from an employee in Japan, then back to startup in Vietnam and build a bridge of technology talents between Vietnam and Japan,"
9:41 - 9:44,his story and the mission of bringing Vietnamese technological expertise to contribute to global.
9:44 - 9:46,như đọc đấy nhỉ.
9:47 - 9:48,To contribute to global.
9:48 - 9:49,Lại.
9:50 - 10:01,"started from an employee in Japan, then back to startup in Vietnam and build a bridge of technology talents between Vietnam and Japan, his story and the mission of bringing Vietnamese technological expertise to contribute to global sustainable development."
10:04 - 10:05,kiểu gì ấy.
10:07 - 10:09,quá đúng không.
10:09 - 10:11,Okay chị.
10:11 - 10:13,Để em xem ngắt nghỉ ở đâu.
10:13 - 10:14,Chúng ta có đoạn mà.
10:16 - 10:17,2 1 bắt đầu.
10:17 - 10:26,his story and the mission of
10:27 - 10:27,2 1 bắt đầu.
10:29 - 10:36,His story and the mission of bringing Vietnamese software engineer to contribute to global sustainable development.
10:36 - 10:37,Lại lại lại.
10:38 - 10:45,development.
10:45 - 10:46,3 2 1 bắt đầu.
10:46 - 10:54,His story and the mission of bringing Vietnamese software engineer to contribute to global sustainable development.
10:55 - 10:56,"Ơ, em nhìn vào cái camera rồi."
10:57 - 11:00,Tự nhiên lại nhìn được cái camera.
11:00 - 11:00,Hello.
11:00 - 11:01,Lại nha.
11:04 - 11:12,His story and the mission of bringing Vietnamese software engineer to contribute to global sustainable development.
11:14 - 11:15,Ok.
11:16 - 11:16,2 1 bắt đầu.
11:18 - 11:21,"Have motivated me to become a part of Rabylo, a true builder."
11:23 - 11:24,Hình như đoạn này đọc không có hết rồi.
11:25 - 11:25,có chút.
11:26 - 11:26,Have.
11:27 - 11:30,3 2 1 bắt đầu.
11:31 - 11:36,"Have motivated me to become a part of Rabylo, a true builder."
11:38 - 11:39,Ok.
11:39 - 11:40,19.
11:41 - 11:42,3 2 1 bắt đầu.
11:43 - 11:53,"When I set my mind to become a female software engineer, I understood that there would be certain difficulties that I need to overcome."
11:54 - 12:05,"The difficulties are not about expertise or gender inequality in the workplace for me, it were about balancing my career, family caregiving and health, especially when I were married."
12:07 - 12:10,Không đọc lại thôi cái câu for me.
12:12 - 12:20,"For me, it was about balancing my career, family caregiving and health, especially when I was married."
12:21 - 12:22,Nó bị vướng cái cửa đúng không?
12:23 - 12:23,Ờ ok.
12:24 - 12:25,2 1 bắt đầu.
12:26 - 12:35,There are many times when I have faced very clear physical limitation compared to my male colleagues on the project.
12:38 - 12:39,Hình như là đoạn này hơi.
12:39 - 12:40,2 1 bắt đầu.
12:42 - 12:50,There are many times when I have face with clear physical limitation compared to my male colleagues on the project.
12:51 - 12:52,hơi vấp.
12:52 - 12:52,hơi vấp đoạn này.
12:53 - 12:59,"There are many times, there are many times when I have face very clear physical limitation compared to my male colleagues on the project."
13:04 - 13:04,3 2.
13:05 - 13:07,2 1 bắt đầu.
13:07 - 13:15,They are very lại lại.
13:16 - 13:25,"There are many moments when I plan to cook a special meal for my family myself, but the choice ended up eating out because I need time to rest after a hard working day."
13:29 - 13:29,Ok.
13:31 - 13:32,3 2 1 bắt đầu.
13:33 - 13:43,The project that brought me to friends is also a project I have been part of for over 2 years.
13:45 - 13:46,hết một câu rồi.
13:46 - 13:47,hết rồi à?
13:47 - 13:50,"Tưởng ý là vẫn còn, nhưng mà có đọc luôn hai câu không?"
13:52 - 13:54,3 2 1 bắt đầu.
13:54 - 14:03,"The project that brought me to France, is also a project that I have been part of for over two years, it is truly impressive that I have been working at Rabylo for five years, right?"
14:06 - 14:06,Ok.
14:06 - 14:08,Ok.
14:09 - 14:10,2 1 bắt đầu.
14:10 - 14:14,When Mr. Kiên.
14:16 - 14:18,When Mr. Kiên.
14:18 - 14:20,cái giọng như nào thế nhỉ?
14:20 - 14:21,Mr. Kiên.
14:21 - 14:29,"When Mr. Kiên, my direct manager Rabylo announce that I was selected to work in France."
14:29 - 14:37,"I was surprised, delighted and a little worry."
14:37 - 14:46,"Although it would be a great opportunity for me to meet talent engineers and expand my experiences in a developed country,"
14:46 - 14:51,I had to be away from my family for a period time.
14:51 - 14:53,Many thing could happen.
14:55 - 14:55,Lại một lần nữa nhá.
14:56 - 14:58,hơi nhỏ nha.
14:58 - 15:01,Em nói lại.
15:01 - 15:02,Nhỏ à?
15:02 - 15:05,Vừa nãy thì chị thấy cái cái cảm xúc thì ok rồi nhá.
15:05 - 15:06,Kiên.
15:07 - 15:08,Lại nha.
15:10 - 15:18,"When Mr. Kiên, my direct thể cái chữ Kiên này khó đọc."
15:19 - 15:21,"When Mr. Kiên,"
15:21 - 15:22,"chị, chị ấy mớm lại xem nào."
15:22 - 15:24,When Mr. Kiên.
15:24 - 15:26,When Mr. Kiên?
15:27 - 15:27,"when Mr. Kiên, lại nhá."
15:28 - 15:37,"When Mr. Kiên, my direct manager Rabylo announce that I was selected to work in France."
15:37 - 15:43,"I was surprised, delighted and a little worry."
15:43 - 15:56,"Although it would be a great opportunity for me to meet talent engineers and expand my experiences in a developed country, I had to be away from my family for a period of time, many things could happen."
15:59 - 16:00,Ok đấy.
16:05 - 16:06,2 1 bắt đầu.
16:07 - 16:12,great không phải grit nha.
16:13 - 16:13,great.
16:14 - 16:14,great.
16:14 - 16:15,"great, great, great."
16:16 - 16:25,"Although it would be a great opportunity for me to meet talent engineers and expand, expand, expand, expand cái expan."
16:26 - 16:26,expand.
16:27 - 16:38,"Although it would be a great opportunity for me to meet talent engineer and expand my experiences in developed country, I had"
16:38 - 16:39,to be away.
16:42 - 16:42,Lại lại lại.
16:43 - 16:44,When
16:44 - 16:45,although.
16:45 - 16:56,"Although it would be a great opportunity for me to meet talent engineers and expand my experiences in developed country, I have to be away from my family for a period time."
16:57 - 16:57,Many things could happen.
17:00 - 17:01,3 2 1 bắt đầu.
17:02 - 17:13,It was not easy to make decision at that moment.
17:14 - 17:14,Okay.
17:16 - 17:17,2 1 bắt đầu.
17:19 - 17:24,It was not easy to make decision at that moment.
17:26 - 17:26,2 1 bắt đầu.
17:28 - 17:34,My family and co-worker at Rabylo encourage me to seize the opportunity.
17:37 - 17:39,hơi chậm quá.
17:39 - 17:40,hơi chầm.
17:40 - 17:45,My family and co-workers at Rabylo encourage me to re-seize the opportunity.
17:46 - 17:47,the opportunity.
17:48 - 17:49,đoạn chia giải.
17:49 - 17:50,chia ra dấu chấm.
17:51 - 17:52,Ok.
17:52 - 17:56,cái đoạn mà it was not easy decision hay là hai mấy ạ?
17:57 - 17:59,3 2 1 bắt đầu.
18:01 - 18:08,My family and co-worker at Rabylo encourage me to seize the opportunity.
18:11 - 18:12,Ok.
18:13 - 18:14,2 1 bắt đầu.
18:15 - 18:25,My husband immediately thấp quá.
18:25 - 18:31,My husband immediately supports my business trip because he knew the trip could be a great experiences on my way to open up my dream.
18:32 - 18:32,Em cứ bị nhìn vào camera.
18:32 - 18:33,Lại nha.
18:34 - 18:43,My husband immediately supports my business trip because he knew the trip could be a great experience on my way lại lại lại.
18:44 - 18:45,Cái này bị cảm xúc nó bị lên cao ấy.
18:46 - 18:46,Lại.
18:47 - 18:49,My husband.
18:49 - 18:50,"great, great, great."
18:50 - 18:51,My husband.
18:52 - 19:01,My husband immediately supports my business trip because he knew the trip could be a great experiences on my way to open up my dream.
19:04 - 19:05,Great.
19:05 - 19:06,nói xong cứ cười.
19:07 - 19:08,Okay.
19:08 - 19:09,bắt đầu.
19:11 - 19:18,"My husband immediately bị thấp ấy, bị cụt ấy."
19:19 - 19:23,Lại.
19:23 - 19:34,"Hoặc là này, hay là my husband supported me right away."
19:34 - 19:35,"Tức là right away cũng có nghĩa là the same kiểu Immediately, nếu em phải nhếu lưỡi thì sẽ là my husband supported me immediately because he know the trip, okay."
19:37 - 19:38,hơi khó.
19:39 - 19:39,Trong quá trình quay vẫn sửa suốt mà.
19:40 - 19:41,Cứu chị.
19:43 - 19:48,My husband supports me right away.
19:50 - 19:51,right away.
19:52 - 20:05,My husband supported me right away because he knew the trip could be a great experiences on my way to open up my dream.
20:07 - 20:07,Lại nhá.
20:07 - 20:15,My husband supports me right away because he knew the trip could be a great.
20:15 - 20:18,My husband supported me right away.
20:18 - 20:20,"sau khi nói nhiều á, nó bắt đầu bị rung giọng ở thanh quản."
20:20 - 20:21,Hình như thế.
20:22 - 20:22,Em lại.
20:23 - 20:26,nó sẽ chắc hơn.
20:26 - 20:27,Ok.
20:27 - 20:29,"Em bắt đầu bị lên cao ấy, bắt đầu nói với."
20:29 - 20:34,My husband supports me right away.
20:34 - 20:35,"Đấy, thoát rồi đúng không?"
20:36 - 20:36,Lại.
20:38 - 20:47,My husband supports me right away because he knew the trip could be a great experiences on my way to open up my dream.
20:49 - 20:49,Ok.
20:50 - 20:52,Ok đấy.
20:53 - 20:54,2 1 bắt đầu.
20:55 - 21:06,My husband supports me right away because he knew the trip could be a great experiences on my way to open up my dream.
21:07 - 21:07,Ok.
21:08 - 21:09,Ok.
21:10 - 21:11,2 1 bắt đầu.
21:13 - 21:18,There are two important things I need to prepare.
21:18 - 21:24,English and a personal computer equipped with proper security.
21:29 - 21:29,Every weekend.
21:32 - 21:33,3 2 1 bắt
